sleeping.category,p20,povcal_year,iso3,value,total,percentage,demographic
5 people per room or more,Not P20,2008,BEN,1335418.45031611,9297683.8429976,0.143629152471329,Not P20
5 people per room or more,P20,2008,BEN,1867932.94351008,10168767.8255396,0.183693145084759,P20
5 people per room or more,Not P20,2009,BEN,1274776.91437036,8858624.59272799,0.14390235199907,Not P20
5 people per room or more,P20,2009,BEN,2045700.54352804,10812239.5996992,0.189202294738728,P20
5 people per room or more,Not P20,2010,BEN,1264810.03458336,8496559.69548061,0.148861430969069,Not P20
5 people per room or more,P20,2010,BEN,2189704.58620997,11419514.9155196,0.191751103475864,P20
5 people per room or more,Not P20,2011,BEN,1173969.59147682,7872519.84497455,0.149122468357603,Not P20
5 people per room or more,P20,2011,BEN,2388005.78772599,12313017.4449557,0.193941558062544,P20
5 people per room or more,Not P20,2012,BEN,1615649.50156492,11295272.3428554,0.143037675633104,Not P20
5 people per room or more,P20,2012,BEN,3075016.70368881,16297032.5861224,0.188685681730017,P20
5 people per room or more,Not P20,2013,BEN,1267637.80975211,8266918.12421894,0.153338619144952,Not P20
5 people per room or more,P20,2013,BEN,2475407.579144,12830995.2038704,0.192924051471652,P20
5 people per room or more,Not P20,2014,BEN,1238168.21327157,8273290.21196153,0.14965850121895,Not P20
5 people per room or more,P20,2014,BEN,2518691.83707608,13249328.5203596,0.190099583779338,P20
5 people per room or more,Not P20,2015,BEN,1200735.87048828,8285762.84361912,0.144915548893964,Not P20
5 people per room or more,P20,2015,BEN,2532636.46254997,13593025.8634572,0.186318814367784,P20
5 people per room or more,Not P20,2016,BEN,1192509.08758625,8413480.30019543,0.141737906910955,Not P20
5 people per room or more,P20,2016,BEN,2554837.99892053,13862626.0607826,0.184296827146494,P20
5 people per room or more,Not P20,2017,BEN,1184858.25900421,8534468.18234447,0.138832113927774,Not P20
5 people per room or more,P20,2017,BEN,2560982.4908199,14126580.6898934,0.181288207460713,P20
5 people per room or more,Not P20,2018,BEN,2311694.7669508,13158127.3442373,0.175685696488051,Not P20
5 people per room or more,P20,2018,BEN,4485465.90349817,20568188.8955406,0.218077825241612,P20
5 people per room or more,Not P20,2000,BFA,286194.924896503,3712406.50238701,0.0770914835733869,Not P20
5 people per room or more,P20,2000,BFA,839506.221922296,7895535.49761299,0.106326698445735,P20
5 people per room or more,Not P20,2001,BFA,319925.503302517,4194821.78493287,0.0762667688176024,Not P20
5 people per room or more,P20,2001,BFA,838422.400587502,7749765.21506715,0.108186813060793,P20
5 people per room or more,Not P20,2002,BFA,340058.986660489,4679636.33630122,0.0726678233568192,Not P20
5 people per room or more,P20,2002,BFA,852086.59504195,7613463.66369878,0.111918389931343,P20
5 people per room or more,Not P20,2003,BFA,354137.085052375,4953942.10038446,0.0714859152320113,Not P20
5 people per room or more,P20,2003,BFA,873067.648763255,7700678.89961555,0.113375412758327,P20
5 people per room or more,Not P20,2004,BFA,375371.212802107,5237911.16024652,0.0716642954258201,Not P20
5 people per room or more,P20,2004,BFA,888291.757516104,7792657.83975348,0.113990858546948,P20
5 people per room or more,Not P20,2005,BFA,393165.446765634,5535033.35412303,0.0710321729990598,Not P20
5 people per room or more,P20,2005,BFA,908450.463575893,7886896.64587696,0.115184781082532,P20
5 people per room or more,Not P20,2006,BFA,402991.361667507,5622021.53203498,0.0716808641466796,Not P20
5 people per room or more,P20,2006,BFA,938117.965270809,8207154.46796501,0.114304899332962,P20
5 people per room or more,Not P20,2007,BFA,405825.147166619,5696434.4272309,0.07124195886933,Not P20
5 people per room or more,P20,2007,BFA,976290.33757526,8555586.57276909,0.114111443940339,P20
5 people per room or more,Not P20,2008,BFA,413456.367756219,5779933.92948083,0.0715330612426838,Not P20
5 people per room or more,P20,2008,BFA,1011106.25315908,8909791.07051915,0.113482599665512,P20
5 people per room or more,Not P20,2009,BFA,416784.398762671,5634561.87657882,0.073969264672577,Not P20
5 people per room or more,P20,2009,BFA,1051550.93429601,9506536.12342119,0.110613468527754,P20
5 people per room or more,Not P20,2010,BFA,417972.333649544,5497011.25238963,0.0760362885318536,Not P20
5 people per room or more,P20,2010,BFA,1095371.77792994,10108205.7476104,0.108364610424446,P20
5 people per room or more,Not P20,2011,BFA,411136.779932168,5369909.99820278,0.0765630671779916,Not P20
5 people per room or more,P20,2011,BFA,1148435.59351162,10712001.0017972,0.10721018354264,P20
