birth.reg,p20,urban,povcal_year,iso3,value,total,percentage,demographic
Registered,Not P20,Urban,2009,ALB,2506879.83954968,2617906.53383547,0.957589511752688,Not P20 Urban
Registered,P20,Rural,2009,ALB,87777.0688948396,89424.5374664122,0.981576996445843,P20 Rural
Registered,P20,Urban,2009,ALB,30031.8462778236,31890.7972029577,0.941708859979151,P20 Urban
Registered,Not P20,Rural,2010,ALB,1966769.67992564,2010635.54653544,0.978183084107219,Not P20 Rural
Registered,Not P20,Urban,2010,ALB,1510243.21350781,1545034.66521501,0.977481766273274,Not P20 Urban
Registered,P20,Rural,2010,ALB,49984.7922482534,52049.7060416964,0.960328041203752,P20 Rural
Registered,P20,Urban,2010,ALB,8783.80323970285,10059.4731583968,0.873187203881637,P20 Urban
Registered,Not P20,Rural,2011,ALB,1872519.61487264,1915714.35560127,0.977452410583897,Not P20 Rural
Registered,Not P20,Urban,2011,ALB,1537046.02373012,1571675.34225767,0.977966620970327,Not P20 Urban
Registered,P20,Rural,2011,ALB,70240.1092697404,72998.3711780141,0.962214747209259,P20 Rural
Registered,P20,Urban,2011,ALB,19701.7343583299,20973.9771157422,0.939341844877984,P20 Urban
Registered,Not P20,Rural,2012,ALB,1768514.83854803,1811553.14478169,0.976242316512971,Not P20 Rural
Registered,Not P20,Urban,2012,ALB,1556267.22686452,1590770.85129225,0.978310122793802,Not P20 Urban
Registered,P20,Rural,2012,ALB,102184.879083663,104938.589453197,0.973758839490002,P20 Rural
Registered,P20,Urban,2012,ALB,30273.1523482561,31543.2957175794,0.959733333488818,P20 Urban
Registered,Not P20,Rural,2013,ALB,1615231.48146967,1655201.59002283,0.975851818416503,Not P20 Rural
Registered,Not P20,Urban,2013,ALB,1610653.63275745,1645025.67534787,0.979105467406669,Not P20 Urban
Registered,P20,Rural,2013,ALB,196414.37887013,202067.466607891,0.972023761010818,P20 Rural
Registered,P20,Urban,2013,ALB,34256.6356593911,35524.4541118675,0.964311388192369,P20 Urban
Registered,Not P20,Rural,2014,ALB,1538509.37329619,1578311.98543098,0.974781530836616,Not P20 Rural
Registered,Not P20,Urban,2014,ALB,1652235.07155778,1686467.73787186,0.979701558739995,Not P20 Urban
Registered,P20,Rural,2014,ALB,194421.062145303,200062.457443109,0.971801829439138,P20 Rural
Registered,P20,Urban,2014,ALB,34185.7816988508,35450.9778868557,0.964311388192369,P20 Urban
Registered,Not P20,Rural,2015,ALB,1459326.86434046,1498929.15910117,0.973579608802554,Not P20 Rural
Registered,Not P20,Urban,2015,ALB,1702568.66620433,1736633.70496041,0.980384442235123,Not P20 Urban
Registered,P20,Rural,2015,ALB,191182.65489369,196807.646018473,0.971418838451758,P20 Rural
Registered,P20,Urban,2015,ALB,34086.3755327689,35347.8927555391,0.964311388192369,P20 Urban
Registered,Not P20,Rural,2016,ALB,1382360.2952624,1421814.88095041,0.972250546666363,Not P20 Rural
Registered,Not P20,Urban,2016,ALB,1742753.50162924,1776696.14428377,0.980895640054306,Not P20 Urban
Registered,P20,Rural,2016,ALB,191917.107888697,197533.112939888,0.971569298090798,P20 Rural
Registered,P20,Urban,2016,ALB,36195.5741600955,37455.0760754011,0.966372998074544,P20 Urban
Registered,Not P20,Rural,2017,ALB,2182881.7909139,2325897.43330394,0.938511629815557,Not P20 Rural
Registered,Not P20,Urban,2017,ALB,2914374.26768681,2986373.9580278,0.975890597978381,Not P20 Urban
Registered,P20,Rural,2017,ALB,380831.113988395,392464.066681825,0.970359190353952,P20 Rural
Registered,P20,Urban,2017,ALB,36162.2995643566,42178.5419864392,0.857362484838454,P20 Urban
Registered,Not P20,Rural,2018,ALB,2172195.06950076,2314858.28143377,0.938370649694958,Not P20 Rural
Registered,Not P20,Urban,2018,ALB,2907192.43611965,2979014.69912927,0.975890597978381,Not P20 Urban
Registered,P20,Rural,2018,ALB,385200.131298212,396804.417149569,0.970755653541571,P20 Rural
Registered,P20,Urban,2018,ALB,36073.1855657078,42074.6022873917,0.857362484838454,P20 Urban
Registered,Not P20,Rural,2000,ARM,2406188.0874766,2406188.0874766,1,Not P20 Rural
Registered,Not P20,Urban,2000,ARM,2757488.25932399,2777236.39972549,0.992889283604575,Not P20 Urban
Registered,P20,Rural,2000,ARM,827994.498148368,827994.498148368,1,P20 Rural
Registered,P20,Urban,2000,ARM,127763.014649545,127763.014649545,1,P20 Urban
Registered,Not P20,Rural,2001,ARM,2382775.18931716,2382775.18931716,1,Not P20 Rural
Registered,Not P20,Urban,2001,ARM,2744284.45383248,2763959.74419336,0.992881484470887,Not P20 Urban
Registered,P20,Rural,2001,ARM,826840.030018023,826840.030018023,1,P20 Rural
Registered,P20,Urban,2001,ARM,127799.036471454,127799.036471454,1,P20 Urban
Registered,Not P20,Rural,2002,ARM,2324121.44471067,2324121.44471067,1,Not P20 Rural
Registered,Not P20,Urban,2002,ARM,2758399.10336389,2778133.27262847,0.992896608143672,Not P20 Urban
Registered,P20,Rural,2002,ARM,835790.52579241,835790.52579241,1,P20 Rural
Registered,P20,Urban,2002,ARM,129910.756868449,129910.756868449,1,P20 Urban
Registered,Not P20,Rural,2003,ARM,2401426.67705106,2401426.67705106,1,Not P20 Rural
Registered,Not P20,Urban,2003,ARM,2794501.17560528,2814775.95615066,0.992797018000287,Not P20 Urban
Registered,P20,Rural,2003,ARM,692757.098728226,692757.098728226,1,P20 Rural
Registered,P20,Urban,2003,ARM,126904.268070055,126904.268070055,1,P20 Urban
Registered,Not P20,Rural,2004,ARM,2433443.59326716,2433443.59326716,1,Not P20 Rural
Registered,Not P20,Urban,2004,ARM,2853211.01473774,2873816.03969795,0.992830082136235,Not P20 Urban
Registered,P20,Rural,2004,ARM,570859.462327848,570859.462327848,1,P20 Rural
Registered,P20,Urban,2004,ARM,123320.904707044,123320.904707044,1,P20 Urban
Registered,Not P20,Rural,2005,ARM,2512997.3286629,2512997.3286629,1,Not P20 Rural
Registered,Not P20,Urban,2005,ARM,2935444.13910597,2956243.91346205,0.992964121038401,Not P20 Urban
Registered,P20,Rural,2005,ARM,368113.823883017,368113.823883017,1,P20 Rural
Registered,P20,Urban,2005,ARM,125182.933992033,125182.933992033,1,P20 Urban
Registered,Not P20,Rural,2006,ARM,2642820.24308683,2642820.24308683,1,Not P20 Rural
Registered,Not P20,Urban,2006,ARM,2888422.00787044,2909363.53807798,0.99280202355826,Not P20 Urban
Registered,P20,Rural,2006,ARM,236008.393811879,236008.393811879,1,P20 Rural
Registered,P20,Urban,2006,ARM,128421.825023313,128421.825023313,1,P20 Urban
Registered,Not P20,Rural,2007,ARM,2694177.76911716,2694177.76911716,1,Not P20 Rural
Registered,Not P20,Urban,2007,ARM,2877996.69976764,2899045.30455913,0.992739470211665,Not P20 Urban
Registered,P20,Rural,2007,ARM,156797.583758378,156797.583758378,1,P20 Rural
Registered,P20,Urban,2007,ARM,115215.342565336,115215.342565336,1,P20 Urban
Registered,Not P20,Rural,2008,ARM,2690085.83638737,2690085.83638737,1,Not P20 Rural
Registered,Not P20,Urban,2008,ARM,2905492.26925848,2926154.75559701,0.992938689828686,Not P20 Urban
Registered,P20,Rural,2008,ARM,96216.8425217376,96216.8425217376,1,P20 Rural
Registered,P20,Urban,2008,ARM,102778.565493882,102778.565493882,1,P20 Urban
Registered,Not P20,Rural,2009,ARM,2651977.69062375,2651977.69062375,1,Not P20 Rural
Registered,Not P20,Urban,2009,ARM,2798128.11255002,2818971.99910455,0.992605855410713,Not P20 Urban
Registered,P20,Rural,2009,ARM,190375.114824322,190375.114824322,1,P20 Rural
Registered,P20,Urban,2009,ARM,114859.195447382,114859.195447382,1,P20 Urban
Registered,Not P20,Rural,2010,ARM,2504881.76405225,2504881.76405225,1,Not P20 Rural
Registered,Not P20,Urban,2010,ARM,2729765.0213904,2750546.90519503,0.992444453950092,Not P20 Urban
Registered,P20,Rural,2010,ARM,368545.369881768,368545.369881768,1,P20 Rural
Registered,P20,Urban,2010,ARM,130663.960870947,130663.960870947,1,P20 Urban
Registered,Not P20,Rural,2011,ARM,1373756.57708079,1373756.57708079,1,Not P20 Rural
Registered,Not P20,Urban,2011,ARM,1888114.18777826,1901724.72468669,0.992843056236401,Not P20 Urban
Registered,P20,Rural,2011,ARM,195640.524306289,195640.524306289,1,P20 Rural
Registered,P20,Urban,2011,ARM,31302.2394134157,31302.2394134157,1,P20 Urban
Registered,Not P20,Rural,2012,ARM,1359024.59643129,1359024.59643129,1,Not P20 Rural
Registered,Not P20,Urban,2012,ARM,1901252.02751529,1914898.95491791,0.992873291111489,Not P20 Urban
Registered,P20,Rural,2012,ARM,232451.668731603,232451.668731603,1,P20 Rural
Registered,P20,Urban,2012,ARM,31385.9322147375,31385.9322147375,1,P20 Urban
