sleeping.category,p20,sex,povcal_year,iso3,value,total,percentage,demographic
5 people per room or more,P20,Male,2013,ALB,17308.5940606755,127271.221173402,0.135997705538577,P20 Male
5 people per room or more,Not P20,Female,2013,ALB,117860.428005365,1638107.75565586,0.0719491300852652,Not P20 Female
5 people per room or more,P20,Female,2013,ALB,21841.9466234073,110320.699546356,0.19798593295023,P20 Female
5 people per room or more,Not P20,Male,2014,ALB,111630.088859998,1647819.41687142,0.0677441276131709,Not P20 Male
5 people per room or more,P20,Male,2014,ALB,17323.4946437321,125876.361278776,0.137623096725572,P20 Male
5 people per room or more,Not P20,Female,2014,ALB,113587.228201918,1616960.30643142,0.0702473819240507,Not P20 Female
5 people per room or more,P20,Female,2014,ALB,20404.8325845208,109637.074051188,0.186112524080988,P20 Female
5 people per room or more,Not P20,Male,2015,ALB,111775.798360854,1645040.34191079,0.0679471472602439,Not P20 Male
5 people per room or more,P20,Male,2015,ALB,14265.2982078767,121014.654014115,0.11788075026197,P20 Male
5 people per room or more,Not P20,Female,2015,ALB,109239.2278464,1590522.52215079,0.0686813461142825,Not P20 Female
5 people per room or more,P20,Female,2015,ALB,18957.6087437514,111140.884759897,0.170572771529635,P20 Female
5 people per room or more,Not P20,Male,2016,ALB,112066.792126715,1630626.33238855,0.0687262249485195,Not P20 Male
5 people per room or more,P20,Male,2016,ALB,14035.3611970657,125070.420219871,0.112219669306234,P20 Male
5 people per room or more,Not P20,Female,2016,ALB,105053.424737766,1567884.69284563,0.0670032848825761,Not P20 Female
5 people per room or more,P20,Female,2016,ALB,17541.6504281541,109917.768795418,0.159588851014644,P20 Female
5 people per room or more,Not P20,Male,2017,ALB,333856.340624831,2780237.05246609,0.120081969387718,Not P20 Male
5 people per room or more,P20,Male,2017,ALB,21492.4574600998,272167.879047573,0.0789676487001725,P20 Male
5 people per room or more,Not P20,Female,2017,ALB,271311.938655463,2532034.33886565,0.107151761131727,Not P20 Female
5 people per room or more,P20,Female,2017,ALB,33839.7272566345,162474.729620692,0.208276864566174,P20 Female
5 people per room or more,Not P20,Male,2018,ALB,333033.625425694,2771006.18156987,0.12018508931547,Not P20 Male
5 people per room or more,P20,Male,2018,ALB,21439.4940465965,273876.77229803,0.0782815346723387,P20 Male
5 people per room or more,Not P20,Female,2018,ALB,270643.350318272,2522866.79899317,0.107276115578627,Not P20 Female
5 people per room or more,P20,Female,2018,ALB,33756.3367243578,165002.24713893,0.204581072740999,P20 Female
5 people per room or more,Not P20,Male,2000,ARM,113754.907837002,2714626.83612816,0.0419044364857343,Not P20 Male
5 people per room or more,P20,Male,2000,ARM,44175.7006719454,495089.123345966,0.0892277745335875,P20 Male
5 people per room or more,Not P20,Female,2000,ARM,129901.407469061,2434795.5632721,0.0533520799152796,Not P20 Female
5 people per room or more,P20,Female,2000,ARM,28793.991422568,460668.389451947,0.062504812750065,P20 Female
5 people per room or more,Not P20,Male,2001,ARM,113615.8350941,2692982.40812318,0.042189594239972,Not P20 Male
5 people per room or more,P20,Male,2001,ARM,44187.236330325,494481.278880899,0.0893607871875934,P20 Male
5 people per room or more,Not P20,Female,2001,ARM,129588.004941386,2419727.47269732,0.0535547934234642,Not P20 Female
5 people per room or more,P20,Female,2001,ARM,28777.4583399635,460157.787608578,0.0625382403925376,P20 Female
5 people per room or more,Not P20,Male,2002,ARM,114912.153475936,2678284.24085482,0.0429051374469721,Not P20 Male
5 people per room or more,P20,Male,2002,ARM,44914.2543328516,500114.419025001,0.0898079571879058,P20 Male
5 people per room or more,Not P20,Female,2002,ARM,130540.933762235,2389337.78250531,0.0546347756763624,Not P20 Female
5 people per room or more,P20,Female,2002,ARM,29169.2781637659,465586.863635858,0.062650560919991,P20 Female
5 people per room or more,Not P20,Male,2003,ARM,117546.780574817,2729651.25229847,0.0430629299167204,Not P20 Male
5 people per room or more,P20,Male,2003,ARM,40829.615914825,429364.875445617,0.0950930508054482,P20 Male
5 people per room or more,Not P20,Female,2003,ARM,129383.685523063,2449028.72297619,0.0528306117070889,Not P20 Female
5 people per room or more,P20,Female,2003,ARM,31141.5709744734,390296.491352665,0.0797895232584461,P20 Female
5 people per room or more,Not P20,Male,2004,ARM,134355.990748568,2746306.53477705,0.0489224305616252,Not P20 Male
5 people per room or more,P20,Male,2004,ARM,30176.4126349106,372252.017250699,0.0810644704030921,P20 Male
5 people per room or more,Not P20,Female,2004,ARM,140476.894030842,2521519.98155211,0.0557111960478585,Not P20 Female
5 people per room or more,P20,Female,2004,ARM,24660.9363676239,321928.349784193,0.0766038044930046,P20 Female
5 people per room or more,Not P20,Male,2005,ARM,148495.670908221,2828766.15186235,0.0524948556848567,Not P20 Male
5 people per room or more,P20,Male,2005,ARM,20168.1846323143,269942.198280914,0.0747129747062607,P20 Male
5 people per room or more,Not P20,Female,2005,ARM,148250.143821029,2599733.27410692,0.0570251361159182,Not P20 Female
5 people per room or more,P20,Female,2005,ARM,14469.6616835081,223354.559594136,0.0647833727227301,P20 Female
5 people per room or more,Not P20,Male,2006,ARM,151512.276002943,2883084.61959461,0.0525521432750201,Not P20 Male
5 people per room or more,P20,Male,2006,ARM,20633.209670598,195130.159140584,0.105740751514134,P20 Male
5 people per room or more,Not P20,Female,2006,ARM,150241.594839725,2627232.41057852,0.0571862596680745,Not P20 Female
5 people per room or more,P20,Female,2006,ARM,14777.3430492783,169300.059694608,0.0872849252146422,P20 Female
5 people per room or more,Not P20,Male,2007,ARM,154177.351263654,2906545.85279608,0.0530448714976702,Not P20 Male
