educ.category,p20,povcal_year,iso3,value,total,percentage,demographic
Completed secondary education,P20,2003,BFA,714.25297801682,7691565.66816418,9.28618448872058e-05,P20
Completed secondary education,Not P20,2004,BFA,201693.284576022,5227945.21372713,0.0385798389865357,Not P20
Completed secondary education,P20,2004,BFA,735.472260568187,7783273.86916755,9.44939459835361e-05,P20
Completed secondary education,Not P20,2005,BFA,207750.954470941,5524768.08968468,0.0376035611085348,Not P20
Completed secondary education,P20,2005,BFA,757.561484712446,7877230.83647705,9.61710403615963e-05,P20
Completed secondary education,Not P20,2006,BFA,214054.499877933,5611444.80062568,0.0381460581870227,Not P20
Completed secondary education,P20,2006,BFA,780.547291105655,8197195.38016067,9.52212622618196e-05,P20
Completed secondary education,Not P20,2007,BFA,220599.493954289,5685534.29853511,0.0388001342303268,Not P20
Completed secondary education,P20,2007,BFA,804.413537316388,8545322.97293289,9.41349484231724e-05,P20
Completed secondary education,Not P20,2008,BFA,227374.482631458,5768699.03914453,0.0394152097532855,Not P20
Completed secondary education,P20,2008,BFA,829.118456214384,8899212.25793506,9.31676234011717e-05,P20
Completed secondary education,Not P20,2009,BFA,234361.046528931,5622981.77037524,0.0416791403741811,Not P20
Completed secondary education,P20,2009,BFA,854.594881738814,9495632.25435219,8.99987340334417e-05,P20
Completed secondary education,Not P20,2010,BFA,241061.502262065,5485076.18201429,0.0439486151628144,Not P20
Completed secondary education,P20,2010,BFA,1364.18747375766,10096967.6430184,0.000135108630827487,P20
Completed secondary education,Not P20,2011,BFA,248425.230158916,5357610.34613419,0.046368663286267,Not P20
Completed secondary education,P20,2011,BFA,1405.85943407807,10700419.6057899,0.00013138357988479,P20
Completed secondary education,Not P20,2012,BFA,255984.229832513,5530130.96169913,0.0462889995924911,Not P20
Completed secondary education,P20,2012,BFA,1448.63645393439,11016507.345695,0.000131496889937671,P20
Completed secondary education,Not P20,2013,BFA,263731.596252858,5352491.13342144,0.0492726825096624,Not P20
Completed secondary education,P20,2013,BFA,1492.47945717659,11694931.4217998,0.00012761763223293,P20
Completed secondary education,Not P20,2014,BFA,271659.899175142,5307014.03180933,0.0511888413233618,Not P20
Completed secondary education,P20,2014,BFA,1537.34639541951,12252888.3778636,0.0001254680813217,P20
Completed secondary education,Not P20,2015,BFA,279763.762871315,5276914.58164331,0.0530165418717452,Not P20
Completed secondary education,P20,2015,BFA,1583.20684696245,12806815.8058732,0.000123622207968072,P20
Completed secondary education,Not P20,2016,BFA,288039.819787596,5511086.17803732,0.0522655263377093,Not P20
Completed secondary education,P20,2016,BFA,1630.04175453314,13107602.6344365,0.000124358496362308,P20
Completed secondary education,Not P20,2017,BFA,296488.147161457,5757257.15513344,0.0514981594833043,Not P20
Completed secondary education,P20,2017,BFA,1677.85155522498,13407525.5219866,0.000125142521822802,P20
Completed secondary education,Not P20,2018,BFA,305111.726359317,5998731.37965143,0.0508627086377464,Not P20
Completed secondary education,P20,2018,BFA,1726.65312084324,13723473.3152059,0.000125817501239287,P20
Completed secondary education,Not P20,2000,BOL,2417086.77913633,6255351.47334563,0.386403032577092,Not P20
Completed secondary education,P20,2000,BOL,132589.479256302,2076123.46173937,0.0638639665221156,P20
Completed secondary education,Not P20,2001,BOL,2467269.78551597,6394789.62960239,0.385825011990172,Not P20
Completed secondary education,P20,2001,BOL,131463.334629645,2096986.44675244,0.0626915518854398,P20
Completed secondary education,Not P20,2002,BOL,2517254.21186869,6537732.54413519,0.385034749414282,Not P20
Completed secondary education,P20,2002,BOL,130719.917636247,2114946.40524325,0.0618076738550791,P20
Completed secondary education,Not P20,2003,BOL,2581355.59617735,6746909.90055868,0.382598201876625,Not P20
Completed secondary education,P20,2003,BOL,115989.778658482,2067097.48870869,0.056112389131168,P20
